BlackAvg,WhiteAvg,HispanicAvg,AvgIncome,Combo,school_id,SQRPRating,SQRPRankingNumber,AccountabilityStatus,AccountabilityStatusNumber,NSAReading3-8,NSAMath3-8
0.01,0.84,0.07,102588.4967,DW,609799,Level 1+,1,Good Standing,1,98,97
0.98,0,0,41293.12268,BB,609800,Level 1,2,Good Standing,1,52,45
0.02,0.79,0.1,97161.17223,CW,609803,Level 1+,1,Good Standing,1,98,97
0.92,0.02,0.02,28387.45222,AB,609805,Level 1+,1,Good Standing,1,45,31
0.93,0.01,0.03,26160.80258,AB,609806,Level 2,4,Intensive Support,3,12,8
0.71,0.05,0.23,66380.44223,C,609807,Level 2+,3,Good Standing,1,46,34
0.97,0,0.01,29884.43858,AB,609808,Level 1,2,Good Standing,1,29,26
0.01,0.53,0.41,79120.69698,C,609809,Level 1+,1,Good Standing,1,69,73
0.04,0.61,0.3,50833.43214,B,609810,Level 1+,1,Good Standing,1,83,83
0.48,0.05,0.45,17159.10378,A,609811,Level 2+,3,Good Standing,1,29,20
0.98,0.01,0.01,17433.46803,AB,609813,Level 1,2,Good Standing,1,17,20
0.94,0.02,0.02,27501.30795,AB,609815,Level 2+,3,Good Standing,1,55,46
0.03,0.54,0.21,67259.9537,C,609817,Level 1+,1,Good Standing,1,81,76
0.1,0.05,0.82,46832.4065,BH,609818,Level 1+,1,Good Standing,1,72,51
0.93,0.02,0.03,22719.65863,AB,609819,Level 2+,3,Intensive Support,3,23,27
0.01,0.84,0.07,122682.7506,DW,609820,Level 1+,1,Good Standing,1,97,95
0.92,0.04,0.02,36974.7366,BB,610345,Level 2+,3,Good Standing,1,52,23
0.9,0.02,0.06,32712.28079,BB,610347,Level 2,4,Provisional Support,2,26,20
0.16,0.32,0.51,65366.75003,C,610352,Level 1+,1,Good Standing,1,76,62
0.98,0,0,51559.42964,BB,610362,Level 1+,1,Good Standing,1,69,61
0.97,0.01,0.03,20368.8859,AB,610364,Level 1,2,Good Standing,1,34,13
0.91,0,0.01,57964.71176,BB,610366,Level 1+,1,Good Standing,1,85,85
0.96,0.01,0.03,26383.6799,AB,610367,Level 1,2,Good Standing,1,28,23
0.97,0.01,0.01,35031.40892,BB,610368,Level 2,4,Intensive Support,3,32,20
0.02,0.71,0.09,52034.83703,B,609874,Level 1+,1,Good Standing,1,85,84
0.12,0.46,0.27,57090.42889,B,609976,Level 1,2,Good Standing,1,79,74
0.03,0.09,0.86,43395.76546,BH,610533,Level 2,4,Provisional Support,2,47,44
0.02,0.07,0.9,45561.92845,BH,610068,Level 1,2,Good Standing,1,61,66
0.08,0.6,0.07,110900.1407,D,610177,Level 1+,1,Good Standing,1,99,99
0.72,0.15,0.05,24455.14731,AB,609812,Level 2,4,Intensive Support,3,20,10
0.12,0.55,0.27,88914.58933,C,610107,Level 2+,3,Good Standing,1,45,33
0.98,0.01,0.01,15647.66116,AB,610112,Level 1,2,Provisional Support,2,38,26
0.03,0.64,0.25,92006.90361,C,610029,Level 1+,1,Good Standing,1,70,67
0.04,0.6,0.33,94067.62537,C,610197,Level 1+,1,Good Standing,1,74,70
0,0.23,0.75,55480.05599,BH,610291,Level 1+,1,Good Standing,1,62,69
0.13,0.08,0.76,40046.99022,B,610006,Level 1,2,Good Standing,1,56,59
0.01,0.05,0.85,40585.0804,BH,610353,Level 1+,1,Good Standing,1,54,44
0.01,0.07,0.8,42791.72979,BH,610317,Level 2+,3,Good Standing,1,46,38
0.02,0.08,0.82,40655.26697,BH,609876,Level 2+,3,Good Standing,1,41,43
0.09,0.34,0.16,36261.84106,B,609859,Level 1+,1,Good Standing,1,81,90
0,0.84,0.11,68654.69573,CW,610105,Level 1+,1,Good Standing,1,95,92
0.97,0.01,0.01,56546.71601,BB,610032,Level 1,2,Good Standing,1,69,49
0.93,0.01,0.05,17734.51563,AB,610034,Level 2,4,Intensive Support,3,6,3
0.67,0.01,0.3,34598.58139,B,610036,Level 2+,3,Intensive Support,3,16,12
0.63,0.05,0.3,26079.56119,A,610037,Level 2+,3,Good Standing,1,17,26
0.05,0.78,0.06,90304.53433,CW,610038,Level 1+,1,Good Standing,1,99,99
0.02,0.36,0.53,53024.04965,B,610039,Level 1+,1,Good Standing,1,93,93
0.05,0.06,0.88,43778.68039,BH,610040,Level 1,2,Good Standing,1,48,55
0.02,0.37,0.56,55900.13107,B,610041,Level 1,2,Good Standing,1,69,50
